"תוצאות חיפוש קרנות נאמנות (סה""כ 1437 קרנות)",,,,,,,,,,,,,,,,,,,,,,,,,,
 31/07/2018 ***,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מעמד מס*,"מס' ני""ע",קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,"קרן קפ""מ אומדן תשואה שנתית","קרן קפ""מ תאריך נכונות****",מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,"שווי נכסים (מליוני ש""ח)",שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
קוואנטום 4D גמישה,פטורה,5127014,,4D,גמישות,,,94.91,94.89,-0.56,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.21,-5.11,,,,3,0,1.88,0.07,0.35%,"מיטב דש קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
קסם אק 4D תיק השקעות גמיש,פטורה,5103643,,4D,גמישות,,,59.51,59.51,-3.24,30/07/2018,,,לא מתחייבת לחלק תשלומים,3.07,27.24,42.37,2.62,ב'-ה',722.2,0,2,0.03,0.35%,"קסם קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
הראל  5D גמישה (היובל),פטורה,5110556,,5D,גמישות,,,286.42,286.42,1.03,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.15,0.02,,1.72,ב'-ה',30.2,0,2.43,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
פסגות FLEX 5D,פטורה,5125380,,5D,גמישות,,,99.08,99.08,-0.04,30/07/2018,,,לא מתחייבת לחלק תשלומים,-1.36,-1.92,,0.97,,8.5,0,1.2,0.04,0.35%,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
קסם אק 5D גמישה,פטורה,5124052,,5D,גמישות,,,1423.93,1423.93,-0.43,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.34,-1.04,1.44,1.19,ב'-ה',19.7,0,2.41,0.04,0.35%,"קסם קרנות נאמנות בע""מ","אלמגור - בריטמן נאמנויות בע""מ"
שקדי 5E גמישה,פטורה,5122833,,5E,גמישות,,,104.6,104.6,-1.22,30/07/2018,,,לא מתחייבת לחלק תשלומים,2.1,6.3,8.97,2.25,,16,0,2,0.1,0.35%,"איילון קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
"4A MTF ת""א 35 סד-2",פטורה,5123377,,4A,מניות בארץ,מדד מניות,"ת""א 35",107.15,107.15,0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.13,4.61,10.11,1.88,א'-ה',19.9,0,0,0.03,לא נגבית עמלת הפצה,"מגדל קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
4A PTF אנדקס מנ LARGE CAP,פטורה,5125232,,4A,מניות בארץ,מדד מניות,"ת""א 35",108.66,108.66,-0.28,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.24,4.85,,1.83,,1.9,0,0.45,0.02,לא נגבית עמלת הפצה,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
"MTF ת""א 4A 35 סד-1",פטורה,5109897,,4A,מניות בארץ,מדד מניות,"ת""א 35",158.17,158.17,0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.13,4.58,10.07,1.88,א'-ה',169.9,0,0.1,0.01,לא נגבית עמלת הפצה,"מגדל קרנות נאמנות בע""מ","אלמגור - בריטמן נאמנויות בע""מ"
א.ש LARGE CP 4A SMARTBETA,פטורה,5121306,,4A,מניות בארץ,מדד מניות,"ת""א 35",116.75,116.75,-0.71,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.17,6.75,21.6,2.06,א'-ה',134.6,0,0.8,0.04,לא נגבית עמלת הפצה,"אלטשולר-שחם ניהול קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
"איביאי 4A סל ת""א 35 מחקה",פטורה,5101506,,4A,מניות בארץ,מדד מניות,"ת""א 35",353.89,353.89,0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.1,4.49,9.86,1.87,א'-ה',109.5,0,0.25,0.03,לא נגבית עמלת הפצה,אי.בי.אי. ניהול קרנות נאמנות,"יובנק חברה לנאמנות בע""מ"
איילון 4B משקל שווה תא 35,פטורה,5117742,,4B,מניות בארץ,מדד מניות,"ת""א 35",144.21,144.21,0.38,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.61,0.78,4.9,1.94,א'-ה',31.5,0,0.75,0.1,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
הראל 4A אנדקס מנ EW-LARGE,פטורה,5125307,,4A,מניות בארץ,מדד מניות,"ת""א 35",103.93,103.93,0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,2.76,1.24,,1.89,,0.2,0,0.55,0.02,לא נגבית עמלת הפצה,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
"הראל 4B ת""א 35",פטורה,5110598,,4B,מניות בארץ,מדד מניות,"ת""א 35",707.27,707.27,-0.08,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.93,6.64,12.56,1.89,א'-ה',98.7,0,2.04,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
"מגדל 4A ת""א 35 קרן נאמנות",פטורה,5131354,,4A,מניות בארץ,מדד מניות,"ת""א 35",750.24,750.24,0.32,31/07/2018,,,הינה קרן צבירה-מתחייבת לא לחלק תשלומים,3.59,0.36,3.53,2.11,א'-ה',14.9,0,2.34,0.05,0.35%,"מגדל קרנות נאמנות בע""מ","אלמגור - בריטמן נאמנויות בע""מ"
"מודלים 4A מניות ת""א 35",פטורה,5126461,,4A,מניות בארץ,מדד מניות,"ת""א 35",298.04,298.04,-0.16,31/07/2018,,,לא מתחייבת לחלק תשלומים,2.93,4.35,4.47,1.58,א'-ה',10.5,0,1.6,0.05,0.35%,"מודלים קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
"פסגות 4A ת""אINDEX PLUS 35",פטורה,5119755,,4A,מניות בארץ,מדד מניות,"ת""א 35",117.24,117.24,-0.03,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.71,3.01,10.52,2.02,א'-ה',14.6,0,0.7,0.04,0.35%,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
"קסם 4A KTF ת""א 35",פטורה,5124490,,4A,מניות בארץ,מדד מניות,"ת""א 35",110.98,110.98,0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.11,4.57,10.04,1.88,,7.5,0,0,0.03,לא נגבית עמלת הפצה,"קסם קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
"תכלית 40 TTF ת""א 35",פטורה,5109418,,40,מניות בארץ,מדד מניות,"ת""א 35",97.47,97.47,0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.12,4.55,10.06,1.88,א'-ה',97.2,0,0.1,0.03,לא נגבית עמלת הפצה,"מיטב דש קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
"הראל 5A מעו""ף בריבוע",פטורה,5111570,,5A,מניות בארץ,מדד מניות,"ת""א 35",196.41,196.41,-0.28,31/07/2018,,,לא מתחייבת לחלק תשלומים,7.52,6.73,13.75,3.55,א'-ה',20.3,0,2.83,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
"4A MTF מדד ת""א 125 בנקים",פטורה,5122288,,4A,מניות בארץ,מדד מניות,"ת""א 125",127.88,127.88,-0.2,31/07/2018,,,לא מתחייבת לחלק תשלומים,4.15,4.92,13.79,1.74,א'-ה',36.6,0,0.25,0.01,לא נגבית עמלת הפצה,"מגדל קרנות נאמנות בע""מ","אלמגור - בריטמן נאמנויות בע""מ"
"4A MTF ת""א 125 סד-1",פטורה,5109889,,4A,מניות בארץ,מדד מניות,"ת""א 125",155.46,155.46,0.06,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.32,3.16,9.15,1.86,א'-ה',361.1,0,0.1,0.01,לא נגבית עמלת הפצה,"מגדל קרנות נאמנות בע""מ","אלמגור - בריטמן נאמנויות בע""מ"
"4A MTF ת""א 125 סד-2",פטורה,5123385,,4A,מניות בארץ,מדד מניות,"ת""א 125",109.4,109.4,0.07,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.33,3.17,9.17,1.86,א'-ה',32.1,0,0,0.03,לא נגבית עמלת הפצה,"מגדל קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
"4A PTF ת""א 125",פטורה,5112628,,4A,מניות בארץ,מדד מניות,"ת""א 125",148.33,148.33,0.07,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.35,3.19,9.18,1.84,א'-ה',65.9,0,0.25,0.02,לא נגבית עמלת הפצה,"פסגות קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
א.ש 4A SMARTBETA מולטי פק,פטורה,5119219,,4A,מניות בארץ,מדד מניות,"ת""א 125",129.19,129.19,-0.17,31/07/2018,,,לא מתחייבת לחלק תשלומים,1.78,0.02,5.05,2.11,א'-ה',144.8,0,0.8,0.04,לא נגבית עמלת הפצה,"אלטשולר-שחם ניהול קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
א.ש 4A SMARTBETA תאLV 125,פטורה,5119201,,4A,מניות בארץ,מדד מניות,"ת""א 125",130.68,130.68,0.05,31/07/2018,,,לא מתחייבת לחלק תשלומים,1.55,-2.74,3.55,2,א'-ה',360.9,0,0.8,0.04,0.35%,"אלטשולר-שחם ניהול קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
"איביאי 4A סל ת""א 125-מחקה",פטורה,5113063,,4A,מניות בארץ,מדד מניות,"ת""א 125",146.02,146.02,0.07,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.3,3.05,8.9,1.85,א'-ה',90.4,0,0.25,0.03,לא נגבית עמלת הפצה,אי.בי.אי. ניהול קרנות נאמנות,"יובנק חברה לנאמנות בע""מ"
"איביאי 4A ת""א 125 קרן נאמ",פטורה,5126354,,4A,מניות בארץ,מדד מניות,"ת""א 125",3607.16,3607.16,0.13,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.99,1.13,7.67,1.6,א'-ה',10.9,0,1.55,0.05,0.35%,אי.בי.אי. ניהול קרנות נאמנות,"יובנק חברה לנאמנות בע""מ"
